年度,科目,題號,題目
113,自然,50,50.文末提及「氧氣的濃度也會有週期性變化」，其變化百分比與理由，下列何者最合理？(A)因CO的分子量大於O，故O的變化百分比會比2～3%要小很多222(B)因CO的分子量大於O，故O的變化百分比會比2～3%要大很多222(C)因大氣中O的濃度比CO高得多，故O的變化百分比會比2～3%要小很多222(D)因大氣中O的濃度比CO高得多，故O的變化百分比會比2～3%要大很多
114,國文,1,1.(cid:8)根據資料，右側詐騙簡訊使用了哪一種話術？(A)(B)(C)(D)
114,國文,2,2.「清代驗屍跟現代不同，驗屍一定是在『屍所』，即屍體所在之處，可能是案發現場，也可能是陳屍處。清代的程序非常強調在屍所驗屍，禁止將屍體帶到他處檢驗。同時十分強調涉案人、關係人和家屬必須在場，一般大眾也可以圍觀。目的在於使驗屍過程中，關於屍傷屍狀的觀察都能夠『公同一干人眾，質對明白』。」若要拍攝清代刑案電視劇，下列情節何者最符合本文的敘述？(A)將屍體從案發現場帶至衙門驗屍(B)官府開始驗屍時，家屬必須到場(C)驗屍時將一干閒雜人等驅離現場(D)家屬要求確認結果，被斷然拒絕
114,國文,3,3.根據下表中的字形，何者的造字原則與「月」字相同？(A)小(B)木(C)出(D)汝
114,國文,4,4.關於右側這首詩的解讀，下列何者最恰當？(A)悲傷會過去，快樂會留下(B)我的快樂等同於我的悲傷(C)除了悲傷之外，我一無所有(D)每個人的愛情都只有一種結果
114,國文,5,5.東漢許慎《說文解字》收錄的字體以小篆為主，兼採秦以前的古文字與籀文。下列四個不同字體的「封」字，何者不會收錄在其中？(cid:2110)6.根據以上資料，下列推論何者最恰當？(A)因疫情而封城，易誘發潛在的家庭暴力(B)疫情期間女性受家暴後通報的意願較高(C)家庭壓力上升造成女性收入與行動受限(D)過度關注疫情，導致政府漠視性別平權
114,國文,6,6.根據以上資料，下列推論何者最恰當？(A)因疫情而封城，易誘發潛在的家庭暴力(B)疫情期間女性受家暴後通報的意願較高(C)家庭壓力上升造成女性收入與行動受限(D)過度關注疫情，導致政府漠視性別平權
114,國文,7,7.(cid:308)(cid:308)(cid:307)(cid:306)(cid:307)(cid:306)根據甲、乙二圖，下列敘述何者最恰當？(A)皆指出如何區分漢語的聲調(B)皆指出對聯「仄起平收」的原則(C)皆說明貼的順序為上聯→橫批→下聯(D)皆說明站在屋外、面向大門的右邊要貼下聯
114,國文,8,8.貫雲石〈小梁州〉秋芙蓉映水菊花黃，滿目秋光。枯荷葉底鷺鷥藏。金風盪，飄動桂枝香。雷峰塔畔登高望，見錢塘一派長江。湖水清，江潮漾。天邊斜月，新雁兩三行。關於這首曲的分析，下列何者最恰當？(A)題目為〈小梁州〉，是散曲中的小令(B)在曲作的中間換韻，不是一韻到底(C)以「菊花」、「金風」、「桂枝」呼應「秋」(D)以「斜月」、「新雁」象徵世間繁華轉眼成空
114,國文,9,9.中式花茶依加工方式，可分為三種：第一種是成品內沒有花但香氣濃郁的茶，如茉莉花茶；第二種是成品內有花的茶，如玫瑰烏龍茶；第三種是純花茶，成品內沒有茶葉，如菊花茶、蓮花茶等。其中第一種等級最高，又稱「香片」。香片是將乾燥後的茶葉與新鮮的香花依比例混合，靜置陰涼處，等茶葉吸收花的香氣後將花篩除，再烘乾製成。根據本文，下列花茶店店員針對顧客需求所給的建議，何者不恰當？10.「蜂造之蜜出山崖、土穴者十居其八，而人家招蜂造釀而割取者，十居其二也。北方乾燥，土穴所釀多出於此。南方卑溼，故有崖蜜而無穴蜜。西北半天下，蓋與蔗漿分勝云。」根據本文，下列推論何者最恰當？(A)穴蜜多產於乾燥之處(B)崖蜜多為人工養育而來(C)卑溼之地沒有天然的蜂造之蜜(D)西北蜂蜜產量是東南蔗漿的一半
114,國文,10,10.「蜂造之蜜出山崖、土穴者十居其八，而人家招蜂造釀而割取者，十居其二也。北方乾燥，土穴所釀多出於此。南方卑溼，故有崖蜜而無穴蜜。西北半天下，蓋與蔗漿分勝云。」根據本文，下列推論何者最恰當？(A)穴蜜多產於乾燥之處(B)崖蜜多為人工養育而來(C)卑溼之地沒有天然的蜂造之蜜(D)西北蜂蜜產量是東南蔗漿的一半
114,國文,11,11.「旅行回來，一篇遊記常要寫上許久，有的終究沒寫成。有時不知怎麼濃縮剪裁，最後只是一片凌亂的札記和草稿。那些沒寫出來的，只好留待時間去處理了。時間如果不是個偉大的作者，起碼是個傑出的編輯。也許它最後會告訴我：不寫也罷！」根據文意脈絡，關於畫線處文句的解讀，下列何者最恰當？(A)真正優秀的作品，經得起時間的考驗(B)要寫出一篇好遊記，作者比編輯更重要(C)成為傑出的編輯，需要時間與經驗的累積(D)經過時間的沉澱，自然能釐清值得寫的是什麼
114,國文,12,12.「我的本行是科學而非文學甲甲也許這正是我的缺失乙乙也許這反而是我的長處，無論如何我清楚明白丙丙科學需要人文的關懷丁丁而文學需要理性的自覺。」根據文意脈絡，甲乙丙丁四處，何者最適合填入標點符號中的冒號？(A)甲(B)乙(C)丙(D)丁
114,國文,13,13.下列文句中的語詞，何者使用最恰當？(A)他奮力救人的義舉，淪為一段佳話(B)我如此盡心，既然得到這樣的待遇(C)此建案已延宕多時，如今終於竣工(D)那件事能夠完成，不愧有你的幫忙
114,國文,14,14.下列文句「」中的字，何者讀音正確？(A)有些玩笑話沒拿捏好分寸，就可能變成「揶」揄：ㄧㄝˊ(B)這家賣場備有各種「晾」晒工具，提供消費者選購：ㄐㄧㄥ(C)這齣音樂劇結合不同族群的元素，打破文化的「藩」籬：ㄆㄢ(D)原以為勝券在握，卻因一時疏忽，竟從雲端「栽」了下來：ㄘㄞˊ
114,國文,15,15.蒲松齡《聊齋志異》共492篇，包括兩種作品：一是幾百字甚至幾十字的奇聞逸事，另一是長達數千言的故事，是真正的短篇小說，兩種作品各占一半。《聊齋志異》真正的短篇小說能從前人作品找到「本事」（原型）的約百篇，意即近二分之一的篇章不是作者獨創，而是改寫前人作品。魯迅說此書「亦頗有從唐傳奇轉化而出者」。關於文中《聊齋志異》的說明，下列何者最恰當？(A)有些唐傳奇故事是蒲松齡寫作的來源(B)找不到原型的篇章數不及全書的一半(C)全書能找到原型的作品大多是奇聞逸事(D)書中的短篇小說篇幅僅幾百甚至幾十字
114,國文,16,16.下列文句，何者用字完全正確？(A)所謂有志竟成，努力必能得到回報(B)得饒人處且饒人，你何必趕進殺絕(C)想到他的處境，我情不自盡地落淚(D)眼不見為靜，把雜物塞進櫃子就好
114,國文,17,17.祖可〈小重山〉﹕「誰向江頭遺恨濃？碧波流不斷，楚山重。柳煙和雨隔疏鐘。黃昏後，羅幕更朦朧。桃李小園空。阿誰猶笑語，拾殘紅。珠簾捲盡1夜來風。人不見，春在綠蕪中。」關於這闋詞的分析，下列何者最恰當？(A)上片押平聲韻，下片轉押仄聲韻(B)上片寫景抒情，下片敘事兼論理1.阿誰：何人(C)「碧波流不斷」將「遺恨濃」具體化(D)藉由「綠蕪」來反襯「桃李」的豔冶
114,國文,18,18.皎然〈尋陸鴻漸不遇〉：「移家雖帶郭，野徑入桑麻。近種籬邊菊，秋來未著花。扣門無犬吠，欲去問西家。報道山中去，歸來每日斜。」根據本詩，作者此次訪友之行曾看見下列何者？(A)荒蕪的農地(B)盛開的菊花(C)歸來的鴻漸(D)鴻漸的鄰居
114,國文,19,19.下列文句中的詞語，何者使用最恰當？(A)這部電影的戰爭場面逼真，其慘烈不可名狀(B)他表面上雖然毫不在乎，但心裡卻不以為意(C)他的心情不言而喻，大家都不知他是喜是怒(D)長官對此事不置可否，讓下屬有明確的方向
114,國文,20,20.太祖以事責丞相李善長，劉基言：「善長勛舊，能調和諸將。」太祖曰：「是數欲害汝，汝竟為之言耶？吾將相汝矣。」基頓首曰：「是如易柱，須得大木。若束小木為之，且立覆。」關於文中人物的敘述，下列何者最恰當？(A)太祖因多次陷害劉基而心存愧疚(B)太祖想以李善長替代劉基為丞相(C)劉基認為李善長調和諸將就像束小木(D)劉基認為李善長比自己適合擔任丞相
114,國文,21,21.(cid:2054)(cid:2391)(cid:5578)世界盃足球賽在16強賽到4強賽之間採單淘汰制（輸一場即遭淘汰），根據這張賽程表推判，下列結果何者最可能出現？522.安邑里巷口有賣餅者，吾每早過戶，未嘗不聞其歌。一日，召之與語，貧窘可憐。因與萬錢，令多其本，日取餅以償之。欣然持錢而去。後過其戶，則寂然不聞謳歌之聲。及呼乃至，謂曰：「爾何輟歌之遽乎？」曰：「本流既大，所謀益增，不暇唱曲矣。」關於文中的「吾」與賣餅者，下列敘述何者最恰當？(A)「吾」喜歡吃賣餅者的餅，日日光顧(B)賣餅者生意資本擴增後，工作更繁忙(C)「吾」喜歡賣餅者的歌聲，勸他以此招攬生意(D)賣餅者經濟狀況改善之後，就不想再繼續賣餅
114,國文,22,22.安邑里巷口有賣餅者，吾每早過戶，未嘗不聞其歌。一日，召之與語，貧窘可憐。因與萬錢，令多其本，日取餅以償之。欣然持錢而去。後過其戶，則寂然不聞謳歌之聲。及呼乃至，謂曰：「爾何輟歌之遽乎？」曰：「本流既大，所謀益增，不暇唱曲矣。」關於文中的「吾」與賣餅者，下列敘述何者最恰當？(A)「吾」喜歡吃賣餅者的餅，日日光顧(B)賣餅者生意資本擴增後，工作更繁忙(C)「吾」喜歡賣餅者的歌聲，勸他以此招攬生意(D)賣餅者經濟狀況改善之後，就不想再繼續賣餅
114,國文,23,23.「令遠方之卒守塞，一歲而更，不知胡人之能。不如選常居者家室田作，且以備之，以便為之高城深塹。先為室屋、具田器，乃募民免罪、拜爵，予冬夏衣、廩食，能自給而止。塞下之民，祿利不厚，不可使久居危難之地。胡人入驅而能止其所驅者，以其半予之。如是則邑里相救助，赴胡不避死，全親戚而利其財也。此與遠方之戍卒，不習地勢而心畏胡者，功相萬也。」關於文中「遠卒守塞」、「募民屯戍」的比較，下列何者最恰當？24.「世傳《碧雲騢》一卷為梅聖俞作，皆歷詆慶曆以來公卿隱過，雖范文正亦不免。議者遂謂聖俞游諸公間，官竟不達，懟而為此以報之。君子成人之美，縱使萬有一不至，猶當為賢者諱，況未必有實。聖俞賢者，豈至是哉？後聞之，乃魏泰所為，嫁之聖俞也。此豈特累諸公，又將以誣聖俞？歐陽文忠《歸田錄》自言不記人之過惡，君子之用心當如此也。」下列何者最符合本文的觀點？(A)范文正也曾揭發公卿的過錯(B)《碧雲騢》應非梅聖俞所作(C)魏泰因官運不亨而怨懟梅聖俞(D)《歸田錄》反對替賢者隱諱的筆法
114,國文,24,24.「世傳《碧雲騢》一卷為梅聖俞作，皆歷詆慶曆以來公卿隱過，雖范文正亦不免。議者遂謂聖俞游諸公間，官竟不達，懟而為此以報之。君子成人之美，縱使萬有一不至，猶當為賢者諱，況未必有實。聖俞賢者，豈至是哉？後聞之，乃魏泰所為，嫁之聖俞也。此豈特累諸公，又將以誣聖俞？歐陽文忠《歸田錄》自言不記人之過惡，君子之用心當如此也。」下列何者最符合本文的觀點？(A)范文正也曾揭發公卿的過錯(B)《碧雲騢》應非梅聖俞所作(C)魏泰因官運不亨而怨懟梅聖俞(D)《歸田錄》反對替賢者隱諱的筆法
114,國文,25,25.根據本文，下列關於公呆的敘述何者最恰當？(A)若移至深海生活，可以延長生命(B)噴水嚇阻敵人，反而暴露藏身處(C)閉殼後像石頭，碰撞也不易破損(D)群體死亡前，會一起躺平晒太陽
114,國文,26,26.關於本文的寫作分析，下列何者最恰當？(A)以祖孫對話暗示不同世代價值觀的差異(B)以作者童年拾蛤經驗抒發對親人的懷念(C)藉北極圓蛤明彰顯生態永續發展的重要(D)藉公呆的形象比喻活到老學到老的態度
114,國文,27,27.小原根據本文與圖(一)畫了一張灰面鵟鷹遷徙路線圖，如圖(二)。小嵐認為小原在圖中標示的遷徙路線有疏漏和錯誤，他提出了下列說法。對照本文後，何者可以成立？圖(一)圖(二)(A)北上的路線應該在臺灣南部出海(B)北上的路線少畫了經由蘭嶼的這條(C)南下的路線不應該經由墾丁出海(D)南下的路線少畫了從中國來的這條
114,國文,28,28.根據本文，八卦山成為灰面鵟鷹重要休息站的原因，最可能是下列何者？(A)林相完整，雨量豐沛(B)地形獨特，容易識別(C)食物豐富，地形適合(D)氣候溫暖，適合繁殖
114,國文,29,29.根據甲文，關於劇本的創作，下列敘述何者最恰當？(A)增加對白的比例可讓電影更有視覺效果(B)要看懂電影必須先學習視覺化寫作的技能(C)視覺化寫作可讓讀劇本的人較容易掌握情境(D)希區考克認為視覺化寫作是劇本最重要的部分
114,國文,30,30.關於乙劇本的寫作分析，下列何者最恰當？(A)透過極簡的對白讓事件留有餘韻(B)藉「關上」一詞讓角色間有衝突(C)以節拍器故障凸顯角色性格的偏執(D)用狀聲詞「喀啦」製造情節的轉折
114,國文,31,31.乙劇本畫線處的文句，最無法呼應甲文中哪一項視覺化寫作的要素？(A)場景外觀(B)場景事件(C)角色外貌(D)角色行動
114,國文,32,32.根據本文，那些人不停追問他人到底賺多少錢，其原因最不可能是下列何者？(A)對貧窮的恐懼(B)對未來想像的單一(C)重視良好的生活品質(D)認為工作的意義只在金錢
114,國文,33,33.根據文意脈絡，畫線處文句的涵義，與下列何者最接近？(A)充分的實現自我(B)不再與他人比較(C)賺取足夠的金錢(D)犧牲已到達極限
114,國文,34,34.根據本文，下列店家的說明何者最不可能是「縮水式漲價」？(A)(B)(C)(D)
114,國文,35,35.根據本文，消費者對企業選擇的「另一條路」較不抗拒的原因，最可能是下列何者？(A)較可感受廠商回饋的誠意(B)較符合實際上的使用需求(C)較能與同類產品產生區隔(D)較難直觀察覺價格的改變
114,國文,36,36.關於文中新、舊《五代史》對南唐君主的記載，下列敘述何者最恰當？(A)《舊五代史》記錄李昪，是因為認同他的正統地位(B)新、舊《五代史》都不肯承認南唐君主的帝王身分(C)南唐君主在《舊五代史》的定位比在《新五代史》高(D)《新五代史》不承認北方政權，故未提及李後主入宋
114,國文,37,37.根據本文，下列何者最接近作者的觀點？(A)應該重視王朝興替的「正統情結」(B)北方政權相對穩定，有利於人文建設(C)肯定李氏三代重視文教，對文化的貢獻(D)趙匡胤借「陳橋兵變」稱帝，是為僭越
114,國文,38,38.下列何者最可能是文中人物的親屬關係示意圖？39.根據本文，公子光最無法接受誰擔任吳王？(A)餘祭(B)夷眛(C)季子札(D)僚
114,國文,39,39.根據本文，公子光最無法接受誰擔任吳王？(A)餘祭(B)夷眛(C)季子札(D)僚
114,國文,40,40.根據文意脈絡，下列「」中的詞語，何者替換後意義仍相同？(A)日前「令郎」訪逮：令尊(B)「比來」，數於都下朋從處見此屏：近來(C)豈意「一旦」不煩懇請：剎那(D)「俗故」忽忽：老友
114,國文,41,41.關於文中的石月屏，下列敘述何者最恰當？(A)若不是薛虢州贈送石月屏，司馬光無從見其真貌(B)石月屏雖比文錦、白璧昂貴，但司馬光更重友情(C)司馬光初獲石月屏時雖心喜，當下仍堅守節操婉拒(D)石月屏自然生成，清氣可見，因此司馬光甚為喜愛
114,國文,42,42.根據本文，下列何者最可能是司馬光收下石月屏後的反應？(A)欲登門回禮，惜薛公務繁忙，擬另擇日造訪(B)獲贈禮物，喜出望外，故寫信向薛表達謝意(C)受薛贈寶深感有愧，已經備好厚禮回贈致謝(D)為辨優劣，邀請好友來家中共同鑑賞石月屏
114,英語,1,1. Look at the picture. A is flying over the houses.(A) bird(B) butterfly(C) kite(D) plane
114,英語,2,"2. When I was a teenager, I was very . But now, it’s easier for me to talk to people.(A) happy (B) lazy (C) popular (D) shy"
114,英語,3,3. Lena doesn’t want to go with John because she is afraid of water.(A) dancing (B) hiking (C) sailing (D) shopping
114,英語,4,4. Cindy enjoys her dad read stories to her before bed.(A) to listen to (B) listening to (C) listen to (D) listens to
114,英語,5,5. Dad is busy cooking in the kitchen. Dinner will be in ten minutes.(A) free (B) full (C) medium (D) ready
114,英語,6,6. There are so many new in the office. It’ll take me some time to remember who iswho.(A) faces (B) ideas (C) rules (D) tools
114,英語,7,7. I feel like a . I was looking for my keys for hours but they have been in my pocketthe whole time.(A) fool (B) ghost (C) king (D) stranger
114,英語,8,"8. Mr. and Mrs. Wu have three daughters. Two are in high school, and is inelementary school.(A) each (B) the other (C) the one (D) the next"
114,英語,9,9. It is hard for trees to along this beach because of the strong winds from the sea.(A) blow (B) build (C) follow (D) grow
114,英語,10,10. Christmas and I want to visit my aunt abroad. Do you have any plans yet?(A) came (B) comes (C) is coming (D) was coming
114,英語,11,"11. Jo won’t be happy if you’re late for his party tonight, so sure that you arrive on time.(A) make (B) makes (C) to make (D) is making"
114,英語,12,12. You may have a long drive because of the terrible . There are usually a lot of carsand buses during this time.(A) experience (B) machine (C) service (D) traffic
114,英語,13,"13. In the future, there will be greater basketball players than Stephen Curry, but nowwe believe he is the best!(A) again (B) already (C) never (D) perhaps"
114,英語,14,14. I guess the rainwater has come in from the kitchen. See? of the windows are closedexcept the one in the kitchen.(A) All (B) Both (C) Most (D) Some
114,英語,15,"15. machines have been used to pick fruits for a long time, they were not used onstrawberry farms until several years ago.(A) Although (B) Because (C) Before (D) If"
114,英語,16,"16. There are online videos that teach you exercises you can do at home. They’ll you atrip to the gym, and some money too.(A) cost (B) give (C) keep (D) save"
114,英語,17,"17. Jane’s parents are always happy to see their grandchildren, but mine less so when Ivisit them with my kids.(A) is (B) are (C) do (D) does"
114,英語,18,"18. Before she about it, you should tell Daphne you broke her favorite cup.(A) asks (B) asked (C) was asking (D) will ask"
114,英語,19,19. It was very windy this morning. Some of the shirts on the balcony were blown awayin the pond.(A) fell (B) and fell (C) fallen (D) and fallen
114,英語,20,20. What happened to Rex?(A) He got lost.(B) He got hurt.(C) He bit people.(D) He ate too much.
114,英語,21,21. How did the writer help Rex?(A) By calling the police.(B) By making him exercise.(C) By taking him to see a doctor.(D) By looking for a new home for him.
114,英語,22,22. What do we know about Mark from the dialogue?(A) He made Linda unhappy.(B) He is looking for a new job.(C) He did not like Linda’s cake.(D) He is getting married to Jenny.
114,英語,23,23. Which is most likely an example of stealing someone＇s thunder?  likely 可能(A) Dennis never changes his mind except when his wife tells him to.(B) Melisa tells Tom she’ll go to the party but tells her mom she’ll stay home.(C) Jeff tells everyone he’ll move abroad when Ivy is still telling them about her baby.(D) Alisa says she doesn’t care what we have for lunch but also doesn’t like the restaurant
114,英語,24,24. What can you do with a White Lake City Card?(A) Save 20% on children’s train tickets.(B) Visit any public museum in the city for free.(C) Take a train to places out of the three zones.(D) Move around the city by metro as much as you want.
114,英語,25,"25. Stacy is going to White Lake City and is staying at a hotel near the White Lake MainStation. She wants to visit the Museum of White Lake City History on Friday and seeWhite Lake on Saturday. If she plans to buy (a) White Lake City Card(s), which of the fourchoices will be best for her and cost her the least?(A) A 3-day Card for Zone 1.(B) A Weekend Card for Zones 1-3.(C) A 1-day Card for Zone 1 and a Weekend Card for Zones 1-2.(D) A 1-day Card for Zones 1-2 and a Weekend Card for Zones 1-2."
114,英語,26,26. What is Rolling Acres?(A) A zoo.(B) A campground.(C) A vacation farm.(D) A family restaurant.
114,英語,27,27. What do we learn from the first paragraph?  paragraph 段落(A) What Libby does at Rolling Acres.(B) What visitors think of Rolling Acres.(C) Why Libby’s grandparents started Rolling Acres.(D) What the Larson family’s plans are for Rolling Acres.
114,英語,28,28. What does making sacrifices mean?(A) Learning to make money and use it wisely.(B) Getting to know different sides of your family.(C) Making excuses for failing to do something difficult.(D) Giving up something important to do something else.
114,英語,29,29. What do the comics tell us?(A) Enjoy life while we can.(B) Follow the old ways of life.(C) Save our planet before it’s too late.(D) Treat others the way we want to be treated.
114,英語,30,30. What can we learn about the people in the comics?(A) They made fire before starting a fight.(B) They fought for land and plants all the time.(C) They prayed to the statues beside a large fire.(D) They used statues to show how strong they were.
114,英語,31,31. What does did it in Picture 7 mean?(A) Fall to the ground.(B) Cut down the last trees.(C) Move the statues to fighting grounds.(D) Understand how important trees were.
114,英語,32,32. What did Ariely try to find out in the origami study?(A) If he could stop the IKEA effect.(B) Why people love making origami.(C) Why IKEA furniture is so famous.(D) If anyone shared his IKEA experience.
114,英語,33,33. Which is true about the origami study?(A) Buyers would spend less on builders’ origami than builders would.(B) Builders and buyers needed to decide a price on the origami they made.(C) Builders knew others would not pay as much for the origami as they would.(D) Buyers would spend more on builders’ origami after knowing how they were made.
114,英語,34,"34. Jerry just can’t get his daughter Mia to eat more vegetables at dinner. Every time he triesto do so, there is always a lot of shouting and crying. If Jerry wants to have Mia eat morevegetables by using the IKEA effect, what should he do?(A) Tell Mia that he cooks the vegetables just for her.(B) Ask Mia to help him cook vegetables for her meal.(C) Give Mia her favorite candy after she eats vegetables.(D) Ask Mia what vegetables she likes and cook them for her."
114,英語,35,35. What is the reading mainly about?(A) The tips on using a picture to tell a story.(B) The change that electricity brought to people’s lives.(C) The history behind the picture of a UK electricity worker.(D) The story of a famous UK electricity worker from the 1970s.
114,英語,36,"36. In the UK in the 1970s, what did people most likely think of the UK electricity workers?(A) They were not brave enough to fix their problems. likely 可能(B) They worked like robots and never learned to change.(C) They were asking too much and did not know when to stop.(D) They did not care whether their job might hurt people’s health."
114,英語,37,37. Why does the writer put the “ ” mark around the word dark in the last sentence?(A) To say that the “dark” time was actually not dark.(B) To tell people that the word was said by the government.(C) To mean both the days without lights and the difficult lives people lived.(D) To show that the government and the electricity workers both lost their fights.
114,英語,38,38. (A) starts (B) started (C) has started (D) will start
114,英語,39,39. (A) he got quite scared of two things(B) he still couldn’t understand two things(C) he couldn’t stop thinking about two things(D) he did two things that would change his life
114,英語,40,"40. (A) should be spent helping his mom(B) should be a time of welcoming a new start(C) should not be about him, but about his mom(D) should not be celebrated for just one day, but for nine months"
114,英語,41,41. (A) first (B) last (C) only (D) other
114,英語,42,42. (A) made his head hurt (B) made his heart sing(C) made him change his mind (D) made him give up baking
114,英語,43,43. (A) is going to give (B) gives (C) has given (D) gave
114,數學,1,1.算式710×72÷74之值可用下列何者表示？(A)73(B)75(C)78(D)716
114,數學,2,2.計算(5x2−2x)−(4−3x)的結果，與下列何者相同？(A)5x2−3x(B)5x2+x−4(C)5x2−5x+4(D)5x2−5x−4
114,數學,3,3.圖(一)方格紙格線上的八條等長線段形成一個線對稱圖形。圖中有四條線段標示上號碼，判斷擦去下列哪個選項中的兩條線段後，剩下的圖形不是線對稱圖形？(A)和2(B)和3(C)2和3(D)2和4圖(一)
114,數學,4,4.若二元一次聯立方程式37x+2y=81的解為x=a，則a+2b之值為何？23x−2y=39y=b(A)33(B)9(C)−3(D)
114,數學,5,5.如圖(二)，∆ABC中有AD，D點在BC上。根據圖中標示的度數，求p+q+r之值是多少？(A)140(B)150(C)160(D)180
114,數學,6,"6.圖(三)為一坐標平面，若從平面上的點(−1,2)出發，向下移動再向右移動，則可能移動到下列哪一點？(A)(4,1)(B)(4,3)(C)(−4,1)(D)(−4,3)"
114,數學,7,7.圖(四)為某國預估50年後的人口變動數直方圖，各組的數值若為正數表示該組人口50年後會增加，若為負數表示該組人口50年後會減少。根據此圖預估該國60歲以上的人口，50年後會增加或減少多少人？圖(四)(A)增加207萬人(B)增加425萬人(C)減少109萬人(D)減少271萬人
114,數學,8,8.計算(23+6)×2的結果，與下列何者相同？(A)43(B)63(C)23+26(D)43+26
114,數學,9,9.某園區想將20個無障礙停車位設置在出入口附近，為了符合規定，規劃每個停車位的長度為600公分，寬度為200公分，並且停車位旁需設置寬度為150公分的下車區，相鄰的停車位可以共用下車區。若以圖(五)的方式讓這些停車位相鄰，且兩個相鄰的停車位之間皆有下車區，則圖中的停車位及下車區的總寬度是多少公分？(A)6850(B)7000(C)7150(D)7200
114,數學,10,10.利用乘法公式判斷，下列算式之值，何者與其他不相同？(A)(1062−42)×(1082−22)(B)(1072−32)×(1072−12)(C)(1082−22)×(1062−22)(D)(1092−12)×(1052−12)
114,數學,11,11.阿嘉和小楊都有5張分別標示數字1、2、3、4、5的紙牌，圖(六)表示兩人的牌中皆有三張牌被自己蓋住的情形。今兩人打算從自己蓋住的紙牌中翻開一張牌，若阿嘉蓋住的牌中每張牌被翻開的機會相等，小楊蓋住的牌中每張牌被翻開的機會相等，則比較兩人翻開的那張牌上的數字，阿嘉比小楊大的機率為何？131(A)32(B)5231圖(六)(C)92(D)
114,數學,12,12.有甲、乙、丙三種三角形木片，其邊長如圖(七)所示，阿林、小博打算利用這三種木片各自組合成一個正三角錐。首先兩人皆選一片甲當作底面，接著阿林選三片乙當作側面，小博選三片丙當作側面，關於兩人選的木片能不能組合成一個正三角錐，下列判斷何者正確？(A)兩人皆能(B)兩人皆不能3(C)阿林能，小博不能(D)阿林不能，小博能
114,數學,13,13.已知甲方程式為(x−4)2=9，乙方程式為(x+9)2=−4。關於甲、乙兩方程式的解的情形，下列敘述何者正確？(A)甲有兩個相異的解，乙無解(B)甲有兩個相異的解，乙有兩個相異的解(C)甲有兩個相同的解，乙無解(D)甲有兩個相同的解，乙有兩個相異的解
114,數學,14,14.圖(八)為貝可咖啡店的菜單，店家今日準備了120杯咖啡和100個三明治販售。若今日準備的餐點全部售出且收入共為8700元，則售出早餐組合的收入在下列哪一個範圍？(A)4300～4399元(B)4400～4499元(C)4500～4599元(D)4600～4699元
114,數學,15,15.如圖(九)，數線上由左至右有A(a)、B(b)、C(c)、D(d)、E(e)五點，且AB=BC=CD=DE。若原點在AE上，且a+b=e，則下列關於原點位置的敘述，何者正確？(A)在BC上且較接近B點(B)在BC上且較接近C點圖(九)(C)在CD上且較接近C點(D)在CD上且較接近D點
114,數學,16,16.如圖(十)，∆ABC中，D點為AB的中點，E點在AB上，F點在AC上，且EF//BC。若AF=7，FC=3，則下列敘述何者正確？(A)DE>EB，DF與EC平行(B)DE>EB，DF與EC不平行(C)DE<EB，DF與EC平行(D)DE<EB，DF與EC不平行
114,數學,17,17.圖(十一)是某種螺絲釘上螺紋的示意圖，圖中的虛線皆為水平線或鉛垂線，圖上標示出角度，也標示出水平線間或鉛垂線間的距離。根據圖中的標示，判斷此種螺絲釘的螺紋深度是螺紋間距的多少倍？5(A)85(B)1653(C)853(D)
114,數學,18,18.已知a、b、c皆為正整數，且a、b兩數的最大公因數與最小公倍數分別為11與88。關於a、b、c三數的最大公因數與最小公倍數，甲、乙兩人分別提出看法如下：甲：a、b、c三數的最大公因數可能比11大乙：a、b、c三數的最小公倍數可能比88小對於甲、乙兩人的看法，下列判斷何者正確？(A)甲、乙皆正確(B)甲、乙皆錯誤(C)甲正確，乙錯誤(D)甲錯誤，乙正確
114,數學,19,19.圖(十二)為金銀河影城的價目表。某社團16人去此影城看電影，打算以比賽獎金6000元購買電影票、爆米花與飲料。若要讓每人拿到一張電影票和一杯飲料，則最多可買多少盒爆米花？(A)3(B)4(C)5圖(十二)(D)6
114,數學,20,20.圖(十三)為一張五邊形紙片ABCDE，F點在CD上，且以BE、BF、FE為摺線將紙片向內摺至同一平面後，A、C、D恰重疊在同一點P，如圖(十四)所示。若BE>FE>BF，則根據圖(十四)中標示的角，判斷下列敘述何者正確？6圖(十三)圖(十四)(A)∠3+∠4=90°，∠1+∠2>∠5+∠6(B)∠3+∠4=90°，∠1+∠2<∠5+∠6(C)∠3+∠4≠90°，∠1+∠2>∠5+∠6(D)∠3+∠4≠90°，∠1+∠2<∠5+∠6
114,數學,21,21.坐標平面上有二次函數y=−(x+7)2+12的圖形，今將此圖形向右平移10單位，平移過程中此圖形與y軸的交點也會跟著變化。假設此圖形與y軸的交點為P，判斷在平移過程中，P點位置的變化情形為下列何者？(A)持續向下(B)持續向上(C)先向下再向上(D)先向上再向下
114,數學,22,22.如圖(十五)，∆ADG的頂點G為∆ABC的重心，DG與AB相交於E點。若DE：EG=3：2，AE：EB=3：4，則∆ADG面積為∆ABC面積的多少倍？5(A)125(B)145(C)155(D)
